Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast
2024-01-01,SKU_24,WH_1,SUP_2,West,17,575,2,288,0,6.14,10.22,0,0,19.29
2024-01-01,SKU_24,WH_5,SUP_4,South,27,786,7,313,0,7.27,12.17,0,0,23.29
2024-01-01,SKU_24,WH_4,SUP_3,West,25,536,13,301,0,7.11,12.19,0,0,25.23
2024-01-01,SKU_24,WH_3,SUP_3,North,13,808,10,209,0,10.59,15.15,0,0,13.38
2024-01-01,SKU_24,WH_2,SUP_7,South,24,807,5,365,0,19.69,29.64,0,0,25.32
2024-01-02,SKU_24,WH_4,SUP_3,West,19,517,13,301,0,7.11,12.19,0,0,15.79
2024-01-02,SKU_24,WH_3,SUP_3,West,12,796,10,209,0,10.59,15.15,0,0,8.11
2024-01-02,SKU_24,WH_5,SUP_4,South,13,773,7,313,0,7.27,12.17,0,0,12.48
2024-01-02,SKU_24,WH_1,SUP_2,West,28,547,2,288,0,6.14,10.22,0,0,32.75
2024-01-02,SKU_24,WH_2,SUP_7,North,23,784,5,365,0,19.69,29.64,0,0,27.73
2024-01-03,SKU_24,WH_3,SUP_3,North,19,777,10,209,0,10.59,15.15,0,0,21.56
2024-01-03,SKU_24,WH_1,SUP_2,East,21,526,2,288,0,6.14,10.22,0,0,24.39
2024-01-03,SKU_24,WH_4,SUP_3,South,19,498,13,301,0,7.11,12.19,0,0,22.56
2024-01-03,SKU_24,WH_5,SUP_4,South,26,747,7,313,0,7.27,12.17,0,0,30.35
2024-01-03,SKU_24,WH_2,SUP_7,South,23,761,5,365,0,19.69,29.64,0,0,31.46
2024-01-04,SKU_24,WH_5,SUP_4,West,20,727,7,313,0,7.27,12.17,0,0,21.49
2024-01-04,SKU_24,WH_3,SUP_3,South,23,754,10,209,0,10.59,15.15,0,0,21.46
2024-01-04,SKU_24,WH_4,SUP_3,West,27,471,13,301,0,7.11,12.19,1,0,22.7
2024-01-04,SKU_24,WH_1,SUP_2,East,21,505,2,288,0,6.14,10.22,0,0,19.62
2024-01-04,SKU_24,WH_2,SUP_7,West,11,750,5,365,0,19.69,29.64,0,0,15.83
2024-01-05,SKU_24,WH_3,SUP_3,East,17,737,10,209,0,10.59,15.15,0,0,20.63
2024-01-05,SKU_24,WH_4,SUP_3,East,16,455,13,301,0,7.11,12.19,0,0,12.74
2024-01-05,SKU_24,WH_2,SUP_7,North,11,739,5,365,0,19.69,29.64,0,0,6.12
2024-01-05,SKU_24,WH_1,SUP_2,North,10,495,2,288,0,6.14,10.22,0,0,9.77
2024-01-05,SKU_24,WH_5,SUP_4,East,13,714,7,313,0,7.27,12.17,1,0,9.8
2024-01-06,SKU_24,WH_5,SUP_4,South,20,694,7,313,0,7.27,12.17,0,0,18.69
2024-01-06,SKU_24,WH_3,SUP_3,East,12,725,10,209,0,10.59,15.15,0,0,10.58
2024-01-06,SKU_24,WH_1,SUP_2,East,18,477,2,288,0,6.14,10.22,0,0,22.99
2024-01-06,SKU_24,WH_4,SUP_3,North,17,438,13,301,0,7.11,12.19,0,0,15.74
2024-01-06,SKU_24,WH_2,SUP_7,North,14,725,5,365,0,19.69,29.64,0,0,10.83
2024-01-07,SKU_24,WH_3,SUP_3,West,22,703,10,209,0,10.59,15.15,0,0,18.98
2024-01-07,SKU_24,WH_5,SUP_4,West,21,673,7,313,0,7.27,12.17,0,0,19.8
