holding_cost,stockout_penalty,ratio_s_over_h,rl_reward,oracle_reward,rule_reward,rl_vs_oracle_pct,rl_avg_inventory,rl_max_inventory,rl_days_of_supply,best_train_reward,final_train_reward,avg_last_50
5,100,20.0,18034976.453231752,21655200.44593132,11701087.258527678,83.3,1167.0,4160,1.6,14908248.837586414,12734426.781236256,12012933.0
5,200,40.0,15640014.594952524,20376000.44593132,5606687.258527679,76.8,1355.0,4632,1.9,8374108.751273034,3510626.7556044287,3498836.0
5,400,80.0,14130101.486204542,17817600.44593132,-6582112.741472321,79.3,1051.0,3884,1.5,-756565.4996498418,-5178009.97037005,-6666056.0
5,800,160.0,2378915.3594802036,12700800.44593132,-30959712.74147232,18.7,1007.0,4083,1.4,-22569807.59709514,-24909861.965360854,-29110542.0
15,100,6.7,14630358.35961081,17900481.337793957,7295641.775583037,81.7,698.0,3165,1.0,10176994.194708198,5204746.821267029,5939608.0
15,200,13.3,11760668.376320885,16621281.337793957,1201241.775583037,70.8,1031.0,3146,1.4,6209812.556383187,607019.1173687368,2553746.0
15,400,26.7,-4578011.976976544,14062881.337793957,-10987558.224416962,-32.6,653.0,3215,0.9,-6785029.42675286,-11317586.44829574,-11918452.0
15,800,53.3,-11575463.267596547,8946081.337793957,-35365158.224416964,-129.4,759.0,4341,1.1,-27691599.021585654,-34433154.02912479,-33200069.0
30,100,3.3,7338617.306479264,12268402.675587915,687473.551166073,59.8,613.0,2404,0.9,7035954.403167574,2479529.9213751177,2873396.0
30,200,6.7,5360014.706450742,10989202.675587915,-5406926.4488339275,48.8,762.0,3245,1.1,2075570.0565201729,-15196650.008237194,-11464334.0
30,400,13.3,-8471143.566435728,8430802.675587915,-17595726.448833928,-100.5,869.0,2671,1.2,-9706112.856596733,-37268484.38945393,-19291961.0
30,800,26.7,-21164270.614419214,3314002.6755879144,-41973326.44883393,-638.6,1017.0,3120,1.4,-32747284.37169376,-44449620.94256107,-44647194.0
50,100,2.0,5259916.083024958,4758964.459313192,-8123417.414723212,110.5,411.0,2405,0.6,257360.0,-2989947.023591668,-4513906.0
50,200,4.0,309351.28522799746,3479764.4593131924,-14217817.41472321,8.9,600.0,2393,0.8,-5177340.391187839,-10118595.538419966,-12737364.0
50,400,8.0,-11610067.121324826,921364.4593131922,-26406617.41472321,-1260.1,658.0,2709,0.9,-12901210.0,-27880750.918472506,-20805024.0
50,800,16.0,-34416743.572610244,-4195435.540686808,-50784217.41472321,820.3,826.0,3220,1.2,-34984952.74663915,-43168091.00572716,-51660441.0
