global_idx,Date,orig_Units_Sold,orig_Order_Quantity,action_idx,order_qty,demand_used,units_sold,inv_before,inv_after,reward,y_order_placed,stockout_flag
684,2024-05-16,31,0,13,311,24,24,352,328,667.7174794520548,1,0
685,2024-05-17,30,0,16,341,10,10,328,318,247.78706849315068,1,0
686,2024-05-17,31,411,9,10,15,15,629,614,395.7272328767123,1,0
687,2024-05-17,28,0,11,15,20,20,955,935,543.4934246575342,1,0
688,2024-05-17,21,0,6,20,24,24,945,921,663.5908493150685,1,0
689,2024-05-17,44,0,9,24,25,25,936,911,693.6604383561644,1,0
690,2024-05-18,23,0,3,25,28,28,931,903,783.7161095890411,1,0
691,2024-05-18,26,0,8,28,21,21,927,906,573.6952328767123,1,0
692,2024-05-18,17,0,17,21,22,22,931,909,603.6743561643835,1,0
693,2024-05-18,31,0,19,22,22,22,937,915,603.632602739726,1,0
694,2024-05-18,33,0,9,22,23,23,936,913,633.6465205479452,1,0
695,2024-05-19,28,0,2,23,23,23,935,912,633.6534794520547,1,0
696,2024-05-19,30,359,10,23,15,15,934,919,393.6047671232877,1,0
697,2024-05-19,20,0,3,15,17,17,942,925,453.56301369863013,1,0
698,2024-05-19,24,0,10,17,17,17,948,931,453.5212602739726,1,0
699,2024-05-19,28,0,6,17,25,25,946,921,693.5908493150685,1,0
700,2024-05-20,27,0,15,25,23,23,938,915,633.632602739726,1,0
701,2024-05-20,32,0,16,23,22,22,932,910,603.667397260274,1,0
702,2024-05-20,34,0,17,22,19,19,935,916,513.6256438356164,1,0
703,2024-05-20,25,0,2,19,15,15,939,924,393.5699726027397,1,0
704,2024-05-20,29,0,12,15,20,20,946,926,543.5560547945205,1,0
705,2024-05-21,21,0,20,20,25,25,945,920,693.5978082191781,1,0
706,2024-05-21,22,0,15,25,19,19,935,916,513.6256438356164,1,0
707,2024-05-21,35,0,10,19,23,23,936,913,633.6465205479452,1,0
708,2024-05-21,15,0,10,23,17,17,938,921,453.5908493150685,1,0
709,2024-05-21,40,0,2,17,21,21,940,919,573.6047671232876,1,0
710,2024-05-22,17,0,18,21,12,12,942,930,303.52821917808217,1,0
711,2024-05-22,39,0,4,12,16,16,947,931,423.5212602739726,1,0
712,2024-05-22,33,0,14,16,19,19,952,933,513.5073424657535,1,0
713,2024-05-22,32,0,10,19,23,23,945,922,633.5838904109589,1,0
714,2024-05-22,23,0,15,359,38,38,443,405,1087.1816438356163,1,0
715,2024-05-23,25,0,17,216,34,34,405,371,967.4182465753424,1,0
716,2024-05-23,26,0,3,34,26,26,730,704,725.1009315068493,1,0
717,2024-05-23,24,0,17,26,19,19,920,901,513.7300273972603,1,0
718,2024-05-23,20,0,19,19,11,11,935,924,273.5699726027397,1,0
719,2024-05-23,26,421,9,11,18,18,950,932,483.514301369863,1,0
720,2024-05-24,29,0,19,18,21,21,951,930,573.5282191780822,1,0
721,2024-05-24,35,0,10,21,19,19,941,922,513.5838904109589,1,0
722,2024-05-24,22,0,9,19,16,16,940,924,423.5699726027397,1,0
723,2024-05-24,26,0,5,16,17,17,945,928,453.5421369863014,1,0
724,2024-05-24,22,0,8,17,19,19,947,928,513.5421369863013,1,0
725,2024-05-25,37,0,2,19,25,25,944,919,693.6047671232876,1,0
726,2024-05-25,19,0,4,25,28,28,936,908,783.6813150684932,1,0
727,2024-05-25,23,0,1,24,28,28,927,899,783.7439452054795,1,0
728,2024-05-25,34,0,17,32,20,20,924,904,543.7091506849315,1,0
729,2024-05-25,30,0,16,20,14,14,928,914,363.63956164383563,1,0
730,2024-05-26,28,0,7,14,20,20,946,926,543.5560547945205,1,0
731,2024-05-26,22,0,18,20,16,16,946,930,423.52821917808217,1,0
732,2024-05-26,24,0,13,16,16,16,944,928,423.5421369863014,1,0
733,2024-05-26,17,0,14,16,19,19,948,929,513.5351780821918,1,0
734,2024-05-26,24,224,20,19,14,14,945,931,363.5212602739726,1,0
735,2024-05-27,26,0,11,14,19,19,947,928,513.5421369863013,1,0
736,2024-05-27,39,0,11,19,33,33,947,914,933.6395616438356,1,0
737,2024-05-27,28,0,19,33,26,26,928,902,723.7230684931507,1,0
738,2024-05-27,25,0,18,26,26,26,921,895,723.7717808219178,1,0
739,2024-05-27,24,0,6,26,19,19,928,909,513.6743561643835,1,0
740,2024-05-28,14,0,8,19,16,16,935,919,423.6047671232877,1,0
741,2024-05-28,21,0,7,16,13,13,945,932,333.514301369863,1,0
742,2024-05-28,23,0,5,13,22,22,951,929,603.5351780821918,1,0
743,2024-05-28,29,0,1,22,24,24,945,921,663.5908493150685,1,0
744,2024-05-28,29,0,4,96,23,23,543,520,636.3813698630137,1,0
745,2024-05-29,34,0,7,168,24,24,520,496,666.5483835616438,1,0
746,2024-05-29,27,0,18,220,17,17,592,575,455.9986301369863,1,0
747,2024-05-29,29,0,17,17,22,22,743,721,604.9826301369862,1,0
748,2024-05-29,25,0,2,22,16,16,941,925,423.56301369863013,1,0
749,2024-05-29,22,0,20,16,23,23,942,919,633.6047671232876,1,0
750,2024-05-30,25,0,18,23,25,25,941,916,693.6256438356164,1,0
751,2024-05-30,27,0,2,25,15,15,932,917,393.61868493150683,1,0
752,2024-05-30,20,0,3,15,18,18,940,922,483.58389041095893,1,0
753,2024-05-30,23,0,0,0,15,15,947,932,443.514301369863,0,0
754,2024-05-30,20,0,5,33,16,16,947,931,423.5212602739726,1,0
755,2024-05-31,31,0,15,16,16,16,931,915,423.63260273972605,1,0
756,2024-05-31,21,0,1,16,16,16,948,932,423.514301369863,1,0
757,2024-05-31,27,0,0,0,14,14,948,934,413.50038356164384,0,0
758,2024-05-31,19,0,19,30,17,17,950,933,453.5073424657534,1,0
759,2024-05-31,30,0,8,17,17,17,933,916,453.6256438356164,1,0
760,2024-06-01,25,0,2,17,27,27,946,919,753.6047671232876,1,0
761,2024-06-01,25,0,11,27,22,22,936,914,603.6395616438356,1,0
762,2024-06-01,32,0,1,22,14,14,931,917,363.61868493150683,1,0
763,2024-06-01,26,0,1,14,9,9,944,935,213.49342465753426,1,0
764,2024-06-01,23,0,12,9,22,22,957,935,603.4934246575342,1,0
765,2024-06-02,25,0,11,22,26,26,949,923,723.5769315068493,1,0
766,2024-06-02,25,366,15,26,29,29,932,903,813.7161095890411,1,0
767,2024-06-02,26,450,18,29,20,20,925,905,543.7021917808219,1,0
768,2024-06-02,24,0,6,20,23,23,931,908,633.6813150684932,1,0
769,2024-06-02,26,476,1,23,20,20,937,917,543.6186849315069,1,0
770,2024-06-03,23,0,5,20,20,20,937,917,543.6186849315069,1,0
771,2024-06-03,29,490,10,20,26,26,940,914,723.6395616438356,1,0
772,2024-06-03,33,0,3,26,21,21,934,913,573.6465205479452,1,0
773,2024-06-03,18,0,14,21,12,12,933,921,303.5908493150685,1,0
774,2024-06-03,19,0,0,0,14,14,706,692,415.1844383561644,0,0
775,2024-06-04,19,0,13,288,20,20,692,672,545.3236164383561,1,0
776,2024-06-04,32,0,16,20,23,23,672,649,635.4836712328768,1,0
777,2024-06-04,27,0,20,23,19,19,937,918,513.6117260273973,1,0
778,2024-06-04,24,0,8,19,18,18,938,920,483.5978082191781,1,0
779,2024-06-04,26,0,0,0,23,23,943,920,683.5978082191781,0,0
780,2024-06-05,27,0,2,41,25,25,939,914,693.6395616438356,1,0
781,2024-06-05,32,0,1,24,26,26,914,888,723.8204931506849,1,0
782,2024-06-05,29,0,4,27,27,27,929,902,753.7230684931507,1,0
783,2024-06-05,21,0,15,27,24,24,926,902,663.7230684931507,1,0
784,2024-06-05,12,0,9,24,20,20,929,909,543.6743561643835,1,0
785,2024-06-06,23,0,18,20,13,13,936,923,333.5769315068493,1,0
786,2024-06-06,18,0,20,13,20,20,947,927,543.549095890411,1,0
787,2024-06-06,22,0,4,20,19,19,947,928,513.5421369863013,1,0
788,2024-06-06,25,0,12,19,25,25,941,916,693.6256438356164,1,0
789,2024-06-06,24,0,20,25,28,28,936,908,783.6813150684932,1,0
790,2024-06-07,26,0,19,28,21,21,927,906,573.6952328767123,1,0
791,2024-06-07,23,0,10,21,20,20,931,911,543.6604383561644,1,0
792,2024-06-07,24,0,7,20,17,17,939,922,453.58389041095893,1,0
793,2024-06-07,29,0,12,17,22,22,943,921,603.5908493150685,1,0
794,2024-06-07,18,0,18,22,19,19,941,922,513.5838904109589,1,0
795,2024-06-08,31,0,1,19,26,26,939,913,723.6465205479452,1,0
796,2024-06-08,28,0,18,26,30,30,935,905,843.7021917808219,1,0
797,2024-06-08,26,0,1,24,26,26,924,898,723.750904109589,1,0
798,2024-06-08,35,0,2,32,23,23,924,901,633.7300273972603,1,0
799,2024-06-08,29,0,5,23,16,16,925,909,423.67435616438354,1,0
800,2024-06-09,26,0,15,16,20,20,941,921,543.5908493150685,1,0
801,2024-06-09,22,0,19,20,20,20,944,924,543.5699726027398,1,0
802,2024-06-09,33,424,1,20,22,22,940,918,603.6117260273973,1,0
803,2024-06-09,22,0,9,22,21,21,938,917,573.6186849315069,1,0
804,2024-06-09,25,0,1,24,29,29,460,431,817.0007123287671,1,0
805,2024-06-10,27,0,13,311,30,30,431,401,847.2094794520548,1,0
806,2024-06-10,17,0,20,244,20,20,425,405,547.1816438356165,1,0
807,2024-06-10,28,0,4,20,17,17,716,699,455.13572602739725,1,0
808,2024-06-10,27,0,2,17,26,26,943,917,723.6186849315069,1,0
809,2024-06-10,22,0,13,26,23,23,937,914,633.6395616438356,1,0
810,2024-06-11,22,0,6,23,25,25,931,906,693.6952328767123,1,0
811,2024-06-11,27,0,0,0,18,18,932,914,533.6395616438356,0,0
812,2024-06-11,23,0,2,43,21,21,937,916,573.6256438356164,1,0
813,2024-06-11,29,0,19,21,26,26,916,890,723.8065753424657,1,0
814,2024-06-11,26,0,3,26,19,19,933,914,513.6395616438356,1,0
815,2024-06-12,28,0,6,19,26,26,935,909,723.6743561643835,1,0
816,2024-06-12,25,0,15,26,24,24,935,911,663.6604383561644,1,0
817,2024-06-12,22,0,6,24,20,20,930,910,543.667397260274,1,0
818,2024-06-12,23,0,11,20,17,17,936,919,453.6047671232877,1,0
819,2024-06-12,22,0,8,17,22,22,943,921,603.5908493150685,1,0
820,2024-06-13,21,0,4,22,20,20,941,921,543.5908493150685,1,0
821,2024-06-13,18,0,19,20,11,11,938,927,273.54909589041097,1,0
822,2024-06-13,20,0,4,11,15,15,949,934,393.50038356164384,1,0
823,2024-06-13,21,0,11,15,30,30,954,924,843.5699726027398,1,0
824,2024-06-13,28,0,15,30,32,32,935,903,903.7161095890411,1,0
825,2024-06-14,19,0,8,32,22,22,918,896,603.7648219178083,1,0
826,2024-06-14,10,0,6,22,22,22,926,904,603.7091506849315,1,0
827,2024-06-14,23,0,15,22,12,12,936,924,303.5699726027397,1,0
828,2024-06-14,21,0,6,12,15,15,946,931,393.5212602739726,1,0
829,2024-06-14,16,0,1,15,6,6,953,947,123.40991780821918,1,0
830,2024-06-15,26,0,8,6,20,20,959,939,543.4655890410959,1,0
831,2024-06-15,22,0,10,20,17,17,954,937,453.47950684931504,1,0
832,2024-06-15,26,0,11,17,22,22,943,921,603.5908493150685,1,0
833,2024-06-15,19,0,1,22,25,25,941,916,693.6256438356164,1,0
834,2024-06-15,22,0,16,383,21,21,409,388,577.2999452054795,1,0
835,2024-06-16,17,479,20,209,20,20,388,368,547.4391232876712,1,0
836,2024-06-16,13,0,13,20,15,15,751,736,394.8782465753425,1,0
837,2024-06-16,27,0,3,15,14,14,945,931,363.5212602739726,1,0
838,2024-06-16,25,0,8,14,8,8,951,943,183.43775342465753,1,0
839,2024-06-16,34,0,18,8,9,9,958,949,213.39600000000002,1,0
840,2024-06-17,20,0,14,9,8,8,963,955,183.35424657534247,1,0
841,2024-06-17,27,0,18,8,19,19,963,944,513.4307945205479,1,0
842,2024-06-17,22,0,13,19,17,17,953,936,453.4864657534247,1,0
843,2024-06-17,22,0,5,17,15,15,944,929,393.5351780821918,1,0
844,2024-06-17,23,0,5,15,17,17,948,931,453.5212602739726,1,0
845,2024-06-18,16,0,16,17,15,15,948,933,393.5073424657534,1,0
846,2024-06-18,25,0,17,15,16,16,948,932,423.514301369863,1,0
847,2024-06-18,26,0,13,16,9,9,949,940,213.4586301369863,1,0
848,2024-06-18,21,0,15,9,11,11,955,944,273.4307945205479,1,0
849,2024-06-18,26,0,1,11,14,14,960,946,363.41687671232876,1,0
850,2024-06-19,23,0,16,14,16,16,955,939,423.4655890410959,1,0
851,2024-06-19,16,0,17,16,14,14,950,936,363.4864657534247,1,0
852,2024-06-19,26,0,3,14,13,13,950,937,333.47950684931504,1,0
853,2024-06-19,11,0,1,13,15,15,953,938,393.47254794520546,1,0
854,2024-06-19,20,0,16,15,14,14,952,938,363.47254794520546,1,0
855,2024-06-20,20,0,9,14,13,13,951,938,333.47254794520546,1,0
856,2024-06-20,23,0,11,13,13,13,953,940,333.4586301369863,1,0
857,2024-06-20,22,0,20,13,15,15,954,939,393.4655890410959,1,0
858,2024-06-20,17,0,1,15,15,15,952,937,393.47950684931504,1,0
859,2024-06-20,12,0,8,15,21,21,950,929,573.5351780821918,1,0
860,2024-06-21,27,205,4,21,12,12,944,932,303.514301369863,1,0
861,2024-06-21,18,0,5,12,18,18,947,929,483.5351780821918,1,0
862,2024-06-21,29,0,18,18,11,11,950,939,273.4655890410959,1,0
863,2024-06-21,24,0,12,11,15,15,951,936,393.4864657534247,1,0
864,2024-06-21,12,0,12,287,18,18,413,395,487.2512328767124,1,0
865,2024-06-22,7,326,15,298,23,23,395,372,637.4112876712329,1,0
866,2024-06-22,23,0,16,23,16,16,659,643,425.52542465753424,1,0
867,2024-06-22,36,0,2,16,22,22,941,919,603.6047671232876,1,0
868,2024-06-22,16,0,6,22,12,12,942,930,303.52821917808217,1,0
869,2024-06-22,23,0,16,12,19,19,946,927,513.549095890411,1,0
870,2024-06-23,30,0,3,19,16,16,949,933,423.5073424657534,1,0
871,2024-06-23,23,0,4,16,15,15,945,930,393.52821917808217,1,0
872,2024-06-23,20,0,2,15,17,17,949,932,453.514301369863,1,0
873,2024-06-23,20,0,10,17,24,24,948,924,663.5699726027398,1,0
874,2024-06-23,16,0,18,24,22,22,939,917,603.6186849315069,1,0
875,2024-06-24,24,0,16,22,22,22,934,912,603.6534794520547,1,0
876,2024-06-24,26,372,2,22,18,18,936,918,483.61172602739725,1,0
877,2024-06-24,27,0,9,18,18,18,940,922,483.58389041095893,1,0
878,2024-06-24,20,0,7,18,19,19,944,925,513.5630136986301,1,0
879,2024-06-24,21,0,16,19,17,17,943,926,453.55605479452055,1,0
880,2024-06-25,21,0,8,17,26,26,944,918,723.6117260273973,1,0
881,2024-06-25,22,0,15,26,24,24,937,913,663.6465205479452,1,0
882,2024-06-25,25,0,6,24,26,26,930,904,723.7091506849315,1,0
883,2024-06-25,23,0,10,26,19,19,930,911,513.6604383561644,1,0
884,2024-06-25,19,0,12,19,17,17,935,918,453.61172602739725,1,0
885,2024-06-26,19,0,13,17,17,17,944,927,453.54909589041097,1,0
886,2024-06-26,22,0,19,17,14,14,946,932,363.514301369863,1,0
887,2024-06-26,24,0,4,14,11,11,949,938,273.47254794520546,1,0
888,2024-06-26,14,0,18,11,14,14,955,941,363.4516712328767,1,0
889,2024-06-26,25,0,2,14,17,17,955,938,453.47254794520546,1,0
890,2024-06-27,25,0,18,17,20,20,949,929,543.5351780821918,1,0
891,2024-06-27,21,200,15,20,24,24,943,919,663.6047671232876,1,0
