Date,sku,Demand
2022-01-01,P0016,770
2022-01-02,P0016,915
2022-01-03,P0016,261
2022-01-04,P0016,610
2022-01-05,P0016,934
2022-01-06,P0016,843
2022-01-07,P0016,708
2022-01-08,P0016,364
2022-01-09,P0016,638
2022-01-10,P0016,542
2022-01-11,P0016,574
2022-01-12,P0016,213
2022-01-13,P0016,319
2022-01-14,P0016,733
2022-01-15,P0016,897
2022-01-16,P0016,1215
2022-01-17,P0016,602
2022-01-18,P0016,537
2022-01-19,P0016,273
2022-01-20,P0016,809
2022-01-21,P0016,599
2022-01-22,P0016,753
2022-01-23,P0016,293
2022-01-24,P0016,297
2022-01-25,P0016,904
2022-01-26,P0016,805
2022-01-27,P0016,653
2022-01-28,P0016,168
2022-01-29,P0016,585
2022-01-30,P0016,149
2022-01-31,P0016,905
2022-02-01,P0016,892
2022-02-02,P0016,674
2022-02-03,P0016,620
2022-02-04,P0016,136
2022-02-05,P0016,881
2022-02-06,P0016,724
2022-02-07,P0016,319
2022-02-08,P0016,712
2022-02-09,P0016,603
2022-02-10,P0016,368
2022-02-11,P0016,722
2022-02-12,P0016,695
2022-02-13,P0016,583
2022-02-14,P0016,738
2022-02-15,P0016,1344
2022-02-16,P0016,1151
2022-02-17,P0016,570
2022-02-18,P0016,921
2022-02-19,P0016,249
2022-02-20,P0016,651
2022-02-21,P0016,1082
2022-02-22,P0016,860
2022-02-23,P0016,579
2022-02-24,P0016,673
2022-02-25,P0016,322
2022-02-26,P0016,510
2022-02-27,P0016,719
2022-02-28,P0016,770
2022-03-01,P0016,544
2022-03-02,P0016,646
2022-03-03,P0016,480
2022-03-04,P0016,692
2022-03-05,P0016,206
2022-03-06,P0016,1041
2022-03-07,P0016,518
2022-03-08,P0016,875
2022-03-09,P0016,1036
2022-03-10,P0016,770
2022-03-11,P0016,361
2022-03-12,P0016,769
2022-03-13,P0016,544
2022-03-14,P0016,419
2022-03-15,P0016,1048
2022-03-16,P0016,669
2022-03-17,P0016,843
2022-03-18,P0016,524
2022-03-19,P0016,1133
2022-03-20,P0016,717
2022-03-21,P0016,437
2022-03-22,P0016,624
2022-03-23,P0016,462
2022-03-24,P0016,1130
2022-03-25,P0016,624
2022-03-26,P0016,872
2022-03-27,P0016,343
2022-03-28,P0016,386
2022-03-29,P0016,412
2022-03-30,P0016,483
2022-03-31,P0016,725
2022-04-01,P0016,738
2022-04-02,P0016,548
2022-04-03,P0016,771
2022-04-04,P0016,526
2022-04-05,P0016,416
2022-04-06,P0016,943
2022-04-07,P0016,378
2022-04-08,P0016,362
2022-04-09,P0016,932
2022-04-10,P0016,492
2022-04-11,P0016,1035
2022-04-12,P0016,605
2022-04-13,P0016,308
2022-04-14,P0016,587
2022-04-15,P0016,1089
2022-04-16,P0016,660
2022-04-17,P0016,966
2022-04-18,P0016,788
2022-04-19,P0016,151
2022-04-20,P0016,173
2022-04-21,P0016,672
2022-04-22,P0016,425
2022-04-23,P0016,480
2022-04-24,P0016,794
2022-04-25,P0016,443
2022-04-26,P0016,922
2022-04-27,P0016,669
2022-04-28,P0016,1188
2022-04-29,P0016,659
2022-04-30,P0016,673
2022-05-01,P0016,362
2022-05-02,P0016,469
2022-05-03,P0016,721
2022-05-04,P0016,516
2022-05-05,P0016,724
2022-05-06,P0016,1043
2022-05-07,P0016,730
2022-05-08,P0016,924
2022-05-09,P0016,807
2022-05-10,P0016,969
2022-05-11,P0016,804
2022-05-12,P0016,739
2022-05-13,P0016,668
2022-05-14,P0016,750
2022-05-15,P0016,228
2022-05-16,P0016,864
2022-05-17,P0016,885
2022-05-18,P0016,659
2022-05-19,P0016,362
2022-05-20,P0016,722
2022-05-21,P0016,405
2022-05-22,P0016,435
2022-05-23,P0016,259
2022-05-24,P0016,602
2022-05-25,P0016,651
2022-05-26,P0016,832
2022-05-27,P0016,806
2022-05-28,P0016,639
2022-05-29,P0016,448
2022-05-30,P0016,582
2022-05-31,P0016,821
2022-06-01,P0016,419
2022-06-02,P0016,441
2022-06-03,P0016,677
2022-06-04,P0016,700
2022-06-05,P0016,668
2022-06-06,P0016,992
2022-06-07,P0016,552
2022-06-08,P0016,879
2022-06-09,P0016,710
2022-06-10,P0016,767
2022-06-11,P0016,363
2022-06-12,P0016,816
2022-06-13,P0016,646
2022-06-14,P0016,569
2022-06-15,P0016,924
2022-06-16,P0016,685
2022-06-17,P0016,609
2022-06-18,P0016,1102
2022-06-19,P0016,784
2022-06-20,P0016,1243
2022-06-21,P0016,1331
2022-06-22,P0016,1149
2022-06-23,P0016,357
2022-06-24,P0016,497
2022-06-25,P0016,662
2022-06-26,P0016,795
2022-06-27,P0016,641
2022-06-28,P0016,862
2022-06-29,P0016,492
2022-06-30,P0016,595
2022-07-01,P0016,1252
2022-07-02,P0016,579
2022-07-03,P0016,801
2022-07-04,P0016,417
2022-07-05,P0016,1042
2022-07-06,P0016,740
2022-07-07,P0016,708
2022-07-08,P0016,397
2022-07-09,P0016,1189
2022-07-10,P0016,820
2022-07-11,P0016,958
2022-07-12,P0016,702
2022-07-13,P0016,452
2022-07-14,P0016,570
2022-07-15,P0016,647
2022-07-16,P0016,644
2022-07-17,P0016,1036
2022-07-18,P0016,1226
2022-07-19,P0016,1394
2022-07-20,P0016,1010
2022-07-21,P0016,838
2022-07-22,P0016,1117
2022-07-23,P0016,638
2022-07-24,P0016,651
2022-07-25,P0016,1323
2022-07-26,P0016,585
2022-07-27,P0016,342
2022-07-28,P0016,496
2022-07-29,P0016,1172
2022-07-30,P0016,745
2022-07-31,P0016,504
2022-08-01,P0016,933
2022-08-02,P0016,780
2022-08-03,P0016,992
2022-08-04,P0016,902
2022-08-05,P0016,558
2022-08-06,P0016,1019
2022-08-07,P0016,559
2022-08-08,P0016,862
2022-08-09,P0016,914
2022-08-10,P0016,557
2022-08-11,P0016,719
2022-08-12,P0016,542
2022-08-13,P0016,423
2022-08-14,P0016,579
2022-08-15,P0016,536
2022-08-16,P0016,647
2022-08-17,P0016,873
2022-08-18,P0016,1032
2022-08-19,P0016,472
2022-08-20,P0016,620
2022-08-21,P0016,140
2022-08-22,P0016,480
2022-08-23,P0016,686
2022-08-24,P0016,268
2022-08-25,P0016,916
2022-08-26,P0016,1522
2022-08-27,P0016,586
2022-08-28,P0016,992
2022-08-29,P0016,405
2022-08-30,P0016,796
2022-08-31,P0016,420
2022-09-01,P0016,531
2022-09-02,P0016,504
2022-09-03,P0016,876
2022-09-04,P0016,222
2022-09-05,P0016,869
2022-09-06,P0016,976
2022-09-07,P0016,888
2022-09-08,P0016,830
2022-09-09,P0016,648
2022-09-10,P0016,976
2022-09-11,P0016,385
2022-09-12,P0016,788
2022-09-13,P0016,668
2022-09-14,P0016,1005
2022-09-15,P0016,837
2022-09-16,P0016,892
2022-09-17,P0016,1096
2022-09-18,P0016,717
2022-09-19,P0016,621
2022-09-20,P0016,167
2022-09-21,P0016,885
2022-09-22,P0016,450
2022-09-23,P0016,529
2022-09-24,P0016,922
2022-09-25,P0016,626
2022-09-26,P0016,311
2022-09-27,P0016,787
2022-09-28,P0016,984
2022-09-29,P0016,719
2022-09-30,P0016,896
2022-10-01,P0016,572
2022-10-02,P0016,989
2022-10-03,P0016,441
2022-10-04,P0016,527
2022-10-05,P0016,202
2022-10-06,P0016,527
2022-10-07,P0016,690
2022-10-08,P0016,850
2022-10-09,P0016,410
2022-10-10,P0016,442
2022-10-11,P0016,358
2022-10-12,P0016,635
2022-10-13,P0016,905
2022-10-14,P0016,486
2022-10-15,P0016,626
2022-10-16,P0016,848
2022-10-17,P0016,920
2022-10-18,P0016,440
2022-10-19,P0016,439
2022-10-20,P0016,1167
2022-10-21,P0016,695
2022-10-22,P0016,682
2022-10-23,P0016,904
2022-10-24,P0016,799
2022-10-25,P0016,637
2022-10-26,P0016,654
2022-10-27,P0016,415
2022-10-28,P0016,887
2022-10-29,P0016,708
2022-10-30,P0016,713
2022-10-31,P0016,619
2022-11-01,P0016,648
2022-11-02,P0016,898
2022-11-03,P0016,942
2022-11-04,P0016,469
2022-11-05,P0016,688
2022-11-06,P0016,1003
2022-11-07,P0016,640
2022-11-08,P0016,733
2022-11-09,P0016,685
2022-11-10,P0016,1048
2022-11-11,P0016,737
2022-11-12,P0016,643
2022-11-13,P0016,992
2022-11-14,P0016,964
2022-11-15,P0016,858
2022-11-16,P0016,955
2022-11-17,P0016,740
2022-11-18,P0016,832
2022-11-19,P0016,664
2022-11-20,P0016,1172
2022-11-21,P0016,927
2022-11-22,P0016,517
2022-11-23,P0016,819
2022-11-24,P0016,784
2022-11-25,P0016,726
2022-11-26,P0016,964
2022-11-27,P0016,431
2022-11-28,P0016,859
2022-11-29,P0016,891
2022-11-30,P0016,831
2022-12-01,P0016,478
2022-12-02,P0016,692
2022-12-03,P0016,518
2022-12-04,P0016,645
2022-12-05,P0016,652
2022-12-06,P0016,667
2022-12-07,P0016,1044
2022-12-08,P0016,607
2022-12-09,P0016,658
2022-12-10,P0016,671
2022-12-11,P0016,995
2022-12-12,P0016,598
2022-12-13,P0016,781
2022-12-14,P0016,997
2022-12-15,P0016,902
2022-12-16,P0016,427
2022-12-17,P0016,206
2022-12-18,P0016,468
2022-12-19,P0016,713
2022-12-20,P0016,714
2022-12-21,P0016,511
2022-12-22,P0016,412
2022-12-23,P0016,767
2022-12-24,P0016,359
2022-12-25,P0016,744
2022-12-26,P0016,720
2022-12-27,P0016,354
2022-12-28,P0016,581
2022-12-29,P0016,719
2022-12-30,P0016,760
2022-12-31,P0016,540
2023-01-01,P0016,703
2023-01-02,P0016,583
2023-01-03,P0016,875
2023-01-04,P0016,556
2023-01-05,P0016,436
2023-01-06,P0016,753
2023-01-07,P0016,488
2023-01-08,P0016,673
2023-01-09,P0016,449
2023-01-10,P0016,549
2023-01-11,P0016,502
2023-01-12,P0016,465
2023-01-13,P0016,767
2023-01-14,P0016,671
2023-01-15,P0016,348
2023-01-16,P0016,837
2023-01-17,P0016,960
2023-01-18,P0016,606
2023-01-19,P0016,1108
2023-01-20,P0016,918
2023-01-21,P0016,672
2023-01-22,P0016,702
2023-01-23,P0016,534
2023-01-24,P0016,501
2023-01-25,P0016,1256
2023-01-26,P0016,848
2023-01-27,P0016,887
2023-01-28,P0016,822
2023-01-29,P0016,422
2023-01-30,P0016,650
2023-01-31,P0016,661
2023-02-01,P0016,498
2023-02-02,P0016,885
2023-02-03,P0016,610
2023-02-04,P0016,542
2023-02-05,P0016,612
2023-02-06,P0016,785
2023-02-07,P0016,537
2023-02-08,P0016,906
2023-02-09,P0016,514
2023-02-10,P0016,880
2023-02-11,P0016,1307
2023-02-12,P0016,614
2023-02-13,P0016,625
2023-02-14,P0016,396
2023-02-15,P0016,375
2023-02-16,P0016,865
2023-02-17,P0016,878
2023-02-18,P0016,1312
2023-02-19,P0016,773
2023-02-20,P0016,827
2023-02-21,P0016,721
2023-02-22,P0016,894
2023-02-23,P0016,747
2023-02-24,P0016,328
2023-02-25,P0016,484
2023-02-26,P0016,589
2023-02-27,P0016,709
2023-02-28,P0016,818
2023-03-01,P0016,375
2023-03-02,P0016,557
2023-03-03,P0016,557
2023-03-04,P0016,1009
2023-03-05,P0016,644
2023-03-06,P0016,906
